id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
e439224e,ASUS ExpertBook B1 B1403CVA-S61634X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00675832.html,https://media.ldlc.com/r150/ld/products/00/06/28/76/LD0006287628.jpg,,True,ldlc,France,2025-12-29T00:47:40.334117,,,,,
96557723,ASUS ExpertBook B1 B1403CVA-S61809X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00714114.html,https://media.ldlc.com/r150/ld/products/00/06/20/07/LD0006200735_0006200757.jpg,,True,ldlc,France,2025-12-29T00:47:40.335115,,,,,
541cccaf,ASUS ExpertBook B1 B1403CVA-S65011X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00701689.html,https://media.ldlc.com/r150/ld/products/00/06/25/20/LD0006252014_0006272061.jpg,,True,ldlc,France,2025-12-29T00:47:40.336116,,,,,
55b150de,ASUS ExpertBook B1 B1502CVA-BQ0188X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00581496.html,https://media.ldlc.com/r150/ld/products/00/06/08/32/LD0006083258.jpg,,True,ldlc,France,2025-12-29T00:47:40.338113,,,,,
8fa2c8ab,ASUS ExpertBook B1 B1503CVA-S71360X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00714115.html,https://media.ldlc.com/r150/ld/products/00/06/20/08/LD0006200814_0006200841.jpg,,True,ldlc,France,2025-12-29T00:47:40.339114,,,,,
47845108,ASUS ExpertBook B1 B1503CVA-S71361X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00716064.html,https://media.ldlc.com/r150/ld/products/00/06/20/08/LD0006200814_0006200841_0006200867.jpg,,True,ldlc,France,2025-12-29T00:47:40.340114,,,,,
3124b089,ASUS ExpertBook B1 B1503CVA-S74764X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00698742.html,https://media.ldlc.com/r150/ld/products/00/06/22/58/LD0006225802_0006225941_0006268682.jpg,,True,ldlc,France,2025-12-29T00:47:40.341114,,,,,
c82f1638,ASUS ExpertBook B3 B3405CVA-LY0299X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717913.html,https://media.ldlc.com/r150/ld/products/00/06/30/58/LD0006305894.jpg,,True,ldlc,France,2025-12-29T00:47:40.343116,,,,,
ed516e37,ASUS ExpertBook B3 B3605CVA-MB0196X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717684.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569_0006305711.jpg,,True,ldlc,France,2025-12-29T00:47:40.344117,,,,,
1bcf9fc6,ASUS ExpertBook B3 B3605CVA-MB0197X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717624.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569.jpg,,True,ldlc,France,2025-12-29T00:47:40.345115,,,,,
